Cycle,T10_R0,T10_R1,T10_R3,T25_R0,T25_R1,T25_R3,T40_R0,T40_R1,T40_R3
603,2.139244356,2.414936105,2.604857302,3.101935717,3.194270516,3.186636423,,,
604,2.13039647,2.398264991,2.596527322,3.09333078,3.195878159,3.186658696,,,
605,2.117941285,2.395351541,2.592319487,3.094920106,3.197485802,3.187562641,,,
606,2.111223898,2.38743068,2.580928835,3.091955435,3.199093445,3.189154627,,,
607,2.104640754,2.383661199,2.574928296,3.093544761,3.200701088,3.190746613,,,
608,2.089962181,2.36699301,2.572781983,3.093580225,3.202308731,3.191609991,,,
609,2.091561464,2.358822271,2.5610828,3.082766365,3.197749679,3.193201977,,,
610,2.07681662,2.360414137,2.556216707,3.0751422,3.199357322,3.194555917,,,
611,2.064940722,2.347849655,2.539110563,3.075876989,3.198525228,3.194541006,,,
612,2.05561276,2.329996417,2.532265439,3.075508224,3.198492899,3.188682052,,,
613,2.048386191,2.322629489,2.522436022,3.066520945,3.200100542,3.183859729,,,
614,2.034347977,2.315505731,2.524026888,3.067045912,3.19785305,3.184305262,,,
615,2.025501256,2.307736259,2.5097185,3.055646979,3.189972442,3.185897248,,,
616,2.013876927,2.301470318,2.510678497,3.057236305,3.184417574,3.186918646,,,
617,2.004518078,2.288700443,2.494801865,3.054922292,3.179998368,3.184176985,,,
618,1.987431291,2.282517457,2.488164913,3.055534475,3.181606011,3.185768971,,,
619,1.96966424,2.274005317,2.479651087,3.049564191,3.1748513,3.187360957,,,
620,1.960825036,2.267661077,2.472078538,3.042535546,3.176458943,3.187157818,,,
621,1.948101614,2.259380216,2.455956729,3.044124871,3.175830187,3.176929869,,,
622,1.940717407,2.24159344,2.454096962,3.037433906,3.174274962,3.178521855,,,
623,1.925287968,2.24221201,2.451624221,3.023598744,3.175483215,3.180113841,,,
624,1.920330013,2.229625967,2.439553845,3.024544032,3.166091411,3.175589922,,,
625,1.905358142,2.221659096,2.435753422,3.01890708,3.163458534,3.177181909,,,
626,1.895362538,2.215765277,2.415181317,3.017941933,3.162378574,3.178773895,,,
627,1.885118305,2.202089219,2.414921927,3.01122855,3.163986217,3.180365881,,,
628,1.871474784,2.19759333,2.405387743,3.005114423,3.163314824,3.174882352,,,
629,1.862797338,2.193056247,2.390365762,3.003940716,3.156444107,3.176474338,,,
630,1.850308561,2.184134857,2.391956629,3.001553075,3.155510078,3.178066324,,,
631,1.837123231,2.170585062,2.39218169,2.998277354,3.150979212,3.177471923,,,
632,1.825051368,2.163984003,2.37432406,2.989532975,3.152586855,3.179063909,,,
633,1.807147236,2.158598054,2.368771658,2.984324523,3.154194498,3.17529272,,,
634,1.797049285,2.147542265,2.354553727,2.985913848,3.155802141,3.176884706,,,
635,1.78140485,2.136723283,2.343882986,2.978287908,3.150725422,3.176528644,,,
636,1.775181658,2.128982515,2.345473852,2.97652052,3.152333065,3.17812063,,,
637,1.760451671,2.115471731,2.333757253,2.9749181,3.147812961,3.174694281,,,
638,1.753174643,2.098070268,2.327976202,2.966404814,3.143197777,3.175837828,,,
639,1.737095323,2.095136033,2.312850079,2.967780811,3.143878435,3.165135559,,,
640,1.72693199,2.085546893,2.312079148,2.961687202,3.138649291,3.166727545,,,
641,1.717016989,2.064503041,2.30154934,2.956484023,3.140256934,3.168319531,,,
642,1.699510917,2.057775631,2.299528643,2.952158472,3.140763179,3.169911517,,,
643,1.695371261,2.047122681,2.279999539,2.949624578,3.140645534,3.171503503,,,
644,1.678357187,2.044251942,2.2673169,2.94667758,3.134495282,3.172347584,,,
645,1.670447693,2.02838209,2.268535063,2.936833162,3.131140738,3.173170397,,,
646,1.652056774,2.025080544,2.262247245,2.938422487,3.123052674,3.169258029,,,
647,1.641069484,2.020811279,2.249483295,2.940011813,3.124660317,3.170850015,,,
648,1.638239275,2.009976209,2.243579466,2.928689022,3.123971323,3.162160551,,,
649,1.619612635,1.990145842,2.237257213,2.930278347,3.117069014,3.158798647,,,
650,1.6120742,1.989332668,2.224836358,2.924128064,3.106715315,3.160390633,,,
651,1.600820689,1.968654245,2.21382896,2.92056551,3.103217022,3.161982619,,,
652,1.585317174,1.961055657,2.215419826,2.913687516,3.102359322,3.160594612,,,
653,1.571507791,1.95615821,2.204236549,2.906782406,3.09409287,3.15684616,,,
654,1.556171973,1.939342887,2.192606272,2.905275473,3.082538617,3.149353757,,,
655,1.542327134,1.927080027,2.184151249,2.903444833,3.08414626,3.150945743,,,
656,1.531751179,1.918072424,2.173140381,2.895910063,3.077503262,3.15253773,,,
657,1.517662411,1.914526072,2.169041956,2.883771747,3.070101174,3.152130097,,,
658,1.515002889,1.905527572,2.160736902,2.885361072,3.06873243,3.151843278,,,
